"ORGANISATION_NAME","SUBURB","STATE","POSTCODE","LONGITUDE","LATITUDE","NHSD_SERVICE_TYPE","GA_CLASS","Services"
"Stawell Medical Centre","Stawell","VIC",3380,142.779388427734,-37.0559349060059,"General practice service","GP",8
"Green Square Health","Waterloo","NSW",2017,151.207409,-33.90249,"General practice service","GP",6
"Montrose Medical Practice","Glebe","NSW",2037,151.192031860352,-33.884090423584,"General practice service","GP",8
"Tambellup Child Health Centre","Tambellup","WA",6320,117.643096923828,-34.0441856384277,"Maternal, child and family health service","GP",2
"Wallan Family Practice","Wallan","VIC",3756,144.978271484375,-37.4139213562012,"General practice service","GP",6
"North Coast Medical Centre","Byron Bay","NSW",2481,153.608474731445,-28.6414318084717,"General practice service","GP",12
"Ginninderra Medical And Dental Centre","Belconnen","ACT",2617,149.057281494141,-35.2391586303711,"General practice service","GP",14
"Gosnells Medical Clinic","Gosnells","WA",6110,116.001052856445,-32.0701904296875,"General practice service","GP",12
"Adelaide Hills Medical Clinic - Stirling","Stirling","SA",5152,138.717407226563,-35.0066413879395,"Nurse practitioner led clinic","GP",12
"Ngala Parenting Line","Kensington","WA",6151,115.883583068848,-31.9869594573975,"Maternal, child and family health service","GP",13
"Toowoomba Hospital - Maternity Home Care","South Toowoomba","QLD",4350,151.944269070764,-27.5697596156494,"Maternal, child and family health service","GP",3
"Hillcrest Health Centre","Jacana","VIC",3047,144.914299,-37.684425,"General practice service","GP",3
"Coolaroo Clinic","Coolaroo","VIC",3048,144.931549072266,-37.6645927429199,"General practice service","GP",6
"Two Rocks Child Health Centre","Two Rocks","WA",6037,115.596886779778,-31.4982142660352,"Maternal, child and family health service","GP",4
"Canterbury Family Medical Practice","Canterbury","NSW",2193,151.11098,-33.91595,"General practice service","GP",6
"You Yangs Medical Clinic","Lara","VIC",3212,144.406829833984,-38.0212707519531,"General practice service","GP",7
"Ochre Medical Centre Smithton","Smithton","TAS",7330,145.124435424805,-40.8393821716309,"General practice service","GP",4
"Beachside Doctors","Dromana","VIC",3936,144.96656111,-38.33221443,"General practice service","GP",4
"Tenambit Medical Centre","Tenambit","NSW",2323,151.604467,-32.743578,"General practice service","GP",2
"Bowral Community Health Connecting Care","Bowral","NSW",2576,150.424591064453,-34.484992980957,"Aboriginal and Torres Strait Islander health service","GP",15
"Peak Medical Gpc","Hoppers Crossing","VIC",3029,144.703796386719,-37.8813705444336,"General practice service","GP",19
"Lenah Valley Medical Centre","Lenah Valley","TAS",7008,147.297470092773,-42.8657646179199,"General practice service","GP",5
"Cow Bay Primary Health Centre","Diwan","QLD",4873,145.404357910156,-16.2033748626709,"Maternal, child and family health service","GP",1
"Maternal And Child Health Centre - Badger Creek","Badger Creek","VIC",3777,145.531448364258,-37.6806297302246,"Maternal, child and family health service","GP",1
"Country Doctors Practice","Laidley","QLD",4341,152.394912719727,-27.6273345947266,"General practice service","GP",5
"Trinity Medical Centre - Port Adelaide","Port Adelaide","SA",5015,138.507904052734,-34.8522148132324,"General practice service","GP",4
"Ali Curung Primary Health Centre","Ali Curung","NT",872,134.4052917,-21.0034615,"General practice service","GP",1
"Ramsgate Child And Family Health","Sans Souci","NSW",2219,151.135589599609,-33.9869956970215,"Maternal, child and family health service","GP",6
"Vermont Health Care - Boronia Rd","Vermont","VIC",3133,145.196823120117,-37.8368721008301,"General practice service","GP",3
"South Lake Child Health Centre","South Lake","WA",6164,115.838485717773,-32.1105346679688,"Maternal, child and family health service","GP",8
"Emerald Medical Centre","Emerald","VIC",3782,145.441390991211,-37.9323806762695,"General practice service","GP",12
"Wollongong Hospital","Wollongong","NSW",2500,150.883865303429,-34.424219450629,"Nurse led clinic","GP",27
"Wallan Medical & Specialist Centre","Wallan","VIC",3756,144.977279663086,-37.41455078125,"General practice service","GP",6
"Mount Medical Clinic","Belgrave","VIC",3160,145.349227905273,-37.9081192016602,"General practice service","GP",3
"Maternal & Child Health Centre - Arnold's Creek","Harkness","VIC",3337,144.545074462891,-37.6678733825684,"Maternal, child and family health service","GP",1
"Rodd Point Medical Practice","Rodd Point","NSW",2046,151.141159057617,-33.8657493591309,"General practice service","GP",2
"Wentworthville Medical Centre","Wentworthville","NSW",2145,150.971557617188,-33.8107452392578,"General practice service","GP",12
"Lakes Drive Family Practice","Glenmore Park","NSW",2745,150.673156738281,-33.784366607666,"General practice service","GP",3
"Saibai Island Primary Health Care Centre","Saibai Island","QLD",4875,142.621838,-9.377753,"Maternal, child and family health service","GP",3
"Ocean Shores Medical Centre","Ocean Shores","NSW",2483,153.545883178711,-28.5254096984863,"General practice service","GP",4
"Bendigo Community Health Services - Eaglehawk","Bendigo","VIC",3550,144.28138917,-36.76149442,"General practice service","GP",28
"The Medical Clinic Beaconsfield","Beaconsfield","VIC",3807,145.368621826172,-38.0454902648926,"General practice service","GP",12
"Women's And Children's Hospital","North Adelaide","SA",5006,138.600341796875,-34.9118385314941,"Aboriginal and Torres Strait Islander health service","GP",9
"Nairne Medical Clinic","Nairne","SA",5252,138.916076660156,-35.0364723205566,"General practice service","GP",2
"Hughes Clinic","Unley","SA",5061,138.606948852539,-34.9488029479981,"General practice service","GP",6
"Graceville Medical","Graceville","QLD",4075,152.980865478516,-27.5245475769043,"General practice service","GP",2
"Central Gippsland Family Practice","Moe","VIC",3825,146.2626113,-38.1759312,"General practice service","GP",8
"Our Medical Loagnholme","Loganholme","QLD",4129,153.192916870117,-27.6704692840576,"General practice service","GP",10
"Phillipson Street Clinic","Wangaratta","VIC",3677,146.305084228516,-36.3520278930664,"General practice service","GP",19
"The Western Medical Centre","Yarraville","VIC",3013,144.882736206055,-37.812744140625,"General practice service","GP",7
"Maternal And Child Health Centre - Ferntree Gully - Wattleview","Ferntree Gully","VIC",3156,145.27555847168,-37.8749618530273,"Maternal, child and family health service","GP",10
"Albemarle Medical Practice","Rose Bay","NSW",2029,151.272018432617,-33.8753471374512,"General practice service","GP",10
"Karuna-Maya Medicine Tree","Jan Juc","VIC",3228,144.299224853516,-38.3494720458984,"General practice service","GP",1
"Coogee Beach Doctors","Coogee","NSW",2034,151.256614368865,-33.9231374346149,"General practice service","GP",6
"Bega Garnbirringu Health Service Aboriginal Corporation","Kalgoorlie","WA",6430,121.476661682129,-30.74658203125,"Aboriginal and Torres Strait Islander health service","GP",11
"White Cliffs Health Service","White Cliffs","NSW",2836,143.089996337891,-30.8503017425537,"Nurse led clinic","GP",1
"Midlands Multi-Purpose Health Centre","Oatlands","TAS",7120,147.36919505,-42.29884918,"Maternal, child and family health service","GP",5
"Revive Cosmetic Medicine And Skin Cancer Clinic","Shailer Park","QLD",4128,153.186294555664,-27.6614437103272,"General practice skin cancer service","GP",4
"Verve Family Doctors","Donvale","VIC",3111,145.179351806641,-37.7972297668457,"General practice service","GP",4
"Bauhinia Health","Katherine","NT",850,132.26129,-14.46259,"General practice service","GP",12
"Your Health Place Medical Centre","Glen Huntly","VIC",3163,145.043212890625,-37.889705657959,"Maternal, child and family health service","GP",6
"Kilmore Medical Centre","Kilmore","VIC",3764,144.949920654297,-37.2923774719238,"General practice service","GP",8
"Lorne Medical Centre","Lorne","VIC",3232,143.980834960938,-38.5454788208008,"General practice service","GP",4
"Ncn Health - Cobram Campus","Cobram","VIC",3644,145.651092529297,-35.9165306091309,"Nurse led clinic","GP",9
"Cunninghame Arm Medical Centre","Lakes Entrance","VIC",3909,148.000473022461,-37.8764533996582,"General practice service","GP",4
"East Ivanhoe Medical Clinic","Ivanhoe East","VIC",3079,145.058929443359,-37.7721710205078,"General practice service","GP",1
"Mylocaldoc Caloundra","Caloundra","QLD",4551,153.11965209,-26.80343223,"Nurse practitioner led clinic","GP",17
"Banksia Medical & Health","Esperance","WA",6450,121.89258,-33.85933,"General practice service","GP",7
"Naatsihwp - National Association Of Aboriginal And Torres Strait Islander Health Workers And Practitioners","Phillip","ACT",2606,149.08854675293,-35.3527145385742,"Aboriginal and Torres Strait Islander health service","GP",7
"Cannington Medical Centre","Cannington","WA",6107,115.924736022949,-32.012020111084,"General practice service","GP",9
"Murray Medical Centre","Greenfields","WA",6210,115.7644102,-32.53048274,"General practice service","GP",9
"Wambo Medical","Jandowae","QLD",4410,151.109275,-26.781142,"General practice service","GP",5
"Bondi Junction Medical And Dental Centre","Bondi Junction","NSW",2022,151.249435424805,-33.8927688598633,"General practice service","GP",27
"Wagga Wagga Community Health Service Child & Family Ashmont Mobile Clinic","Wagga Wagga","NSW",2650,147.356994628906,-35.1185607910156,"Maternal, child and family health service","GP",25
"Ochre Medical Centre - Garran","Garran","ACT",2605,149.107833862305,-35.3420257568359,"General practice service","GP",9
"Waramanga Medical Centre","Waramanga","ACT",2611,149.059524536133,-35.3525543212891,"General practice service","GP",2
"Yarragon Medical Centre","Yarragon","VIC",3823,146.064056396484,-38.2042541503906,"General practice service","GP",4
"Nicholson Road Medical Group","Canning Vale","WA",6155,115.934814453125,-32.0644187927246,"General practice service","GP",19
"Midland Child Health Centre","Midland","WA",6056,116.00477,-31.88684,"Maternal, child and family health service","GP",22
"Forrest Road Medical Centre","Padbury","WA",6025,115.763771057129,-31.8005657196045,"General practice service","GP",4
"Mount Gambier Family Health","Mount Gambier","SA",5290,140.785766601563,-37.8318595886231,"General practice service","GP",12
"Aberfoyle Park Medical Centre","Aberfoyle Park","SA",5159,138.595428466797,-35.0623474121094,"General practice service","GP",3
"Nimbin Medical Centre","Nimbin","NSW",2480,153.223037719727,-28.5975666046143,"General practice service","GP",2
"Dpv Health - Gp Superclinic","Mill Park","VIC",3082,145.066360473633,-37.6502571105957,"General practice service","GP",19
"Grantham Street General Practice","Brunswick West","VIC",3055,144.949340820313,-37.7710151672363,"General practice service","GP",8
"St John Of God Hospital - Berwick","Berwick","VIC",3806,145.345077514648,-38.0460510253906,"Maternal, child and family health service","GP",24
"Birkenhead Medical Centre","Drummoyne","NSW",2047,151.162216186523,-33.8558311462402,"General practice service","GP",6
"Sorrento Medical Centre - Wa","Sorrento","WA",6020,115.759033203125,-31.8227767944336,"General practice service","GP",4
"Maternal And Child Health Centre - Red Hill","Red Hill","VIC",3937,145.012145996094,-38.369197845459,"Maternal, child and family health service","GP",5
"Myclinic Elsternwick","Elsternwick","VIC",3185,145.004531860352,-37.884937286377,"General practice skin cancer service","GP",7
"Atherton Hospital","Atherton","QLD",4883,145.483507035395,-17.2663894792316,"Maternal, child and family health service","GP",10
"Woollahra Family Medical Practice","Woollahra","NSW",2025,151.2477546,-33.8891995,"General practice service","GP",5
"Point Lonsdale Medical Group","Point Lonsdale","VIC",3225,144.619155883789,-38.2732925415039,"General practice service","GP",2
"Cheltenham Medical Centre","Cheltenham","VIC",3192,145.073333740234,-37.96728515625,"General practice service","GP",14
"Ochre Health Medical Centre Tea Gardens","Tea Gardens","NSW",2324,152.150588989258,-32.6518630981445,"General practice service","GP",2
