"ORGANISATION_NAME","SUBURB","STATE","POSTCODE","LONGITUDE","LATITUDE","NHSD_SERVICE_TYPE","GA_CLASS","Services"
"May Shaw Health Centre","Swansea","TAS",7190,148.077117919922,-42.1275024414063,"Walk-in centre","GP",9
"Holmesglen Medical Centre - Chadstone","Chadstone","VIC",3148,145.096085,-37.875694,"General practice service","GP",6
"Bridge Inn Medical","Mernda","VIC",3754,145.09935451,-37.60214781,"General practice service","GP",9
"Nabiac Village Medical Centre","Nabiac","NSW",2312,152.376846313477,-32.0982513427734,"General practice service","GP",2
"Greenslopes Doctors Surgery","Greenslopes","QLD",4120,153.04776732,-27.50395234,"General practice service","GP",9
"Amiens Clinic","Derwent Park","TAS",7009,147.286987304688,-42.8366546630859,"General practice service","GP",3
"Beaches Family Practice - Trinity Beach","Trinity Beach","QLD",4879,145.69192394,-16.7904908,"General practice service","GP",2
"Redland City Medical Centre","Cleveland","QLD",4163,153.26599018,-27.53129422,"General practice skin cancer service","GP",14
"Maternal And Child Health Centre - Beaconsfield","Beaconsfield","VIC",3807,145.38057522,-38.05246553,"Maternal, child and family health service","GP",12
"Alphacare Medical Centre","Dandenong","VIC",3175,145.221908569336,-37.980770111084,"General practice service","GP",35
"Em Medical","Wollongong","NSW",2500,150.88874794,-34.4320514,"General practice service","GP",27
"Mac-Field Medical Practice","Macquarie Fields","NSW",2564,150.88380124,-33.99040389,"General practice service","GP",5
"Waverley Police Road Medical Centre","Noble Park North","VIC",3174,145.186477661133,-37.9369964599609,"General practice service","GP",4
"Quacks At Bamford Lane","Kirwan","QLD",4817,146.74390482,-19.29122291,"General practice service","GP",7
"Bruce Rock Health Centre","Bruce Rock","WA",6418,118.14746167,-31.87799237,"General practice service","GP",3
"Engawala Community Health Centre","Engawala","NT",872,134.45460524,-22.80222655,"Aboriginal and Torres Strait Islander health service","GP",1
"Coomera Waters Health Centre","Coomera","QLD",4209,153.315063476563,-27.8719177246094,"Nurse led clinic","GP",13
"Ormeau Family Practice","Ormeau","QLD",4208,153.244598,-27.763968,"General practice service","GP",8
"York Street Medical Centre","Beenleigh","QLD",4207,153.202011108398,-27.7124843597412,"General practice service","GP",17
"Balmain Early Childhood Health Centre Community Nursing Service Child And Family Health","Rozelle","NSW",2039,151.17221027,-33.85962235,"Maternal, child and family health service","GP",7
"Roths Corner Medical Centre - Tumbarumba","Tumbarumba","NSW",2653,148.01038465,-35.77692389,"General practice service","GP",4
"Maternal & Child Health Centre - Kyabram","Kyabram","VIC",3620,145.05041582,-36.31632566,"Maternal, child and family health service","GP",8
"Strathalbyn Family Medical Centre","Strathalbyn","SA",5255,138.89276123,-35.25099982,"General practice service","GP",4
"Texas Family Medical Centre","Texas","QLD",4385,151.17049766,-28.85246202,"General practice service","GP",3
"Cooloola Coast General Practice - Tin Can Bay","Tin Can Bay","QLD",4580,153.00221405,-25.91625847,"General practice service","GP",3
"Newcomb Women And Children's Medical Centre","Newcomb","VIC",3219,144.390014648438,-38.1703834533691,"General practice service","GP",6
"Ascot Vale Health Group","Ascot Vale","VIC",3032,144.915130615234,-37.7773017883301,"General practice service","GP",7
"Prestige Medical Centre","Carramar","WA",6031,115.788543,-31.71206811,"General practice service","GP",2
"Ton-Nu Medical Centre","St Albans","VIC",3021,144.801651,-37.740688,"General practice service","GP",27
"Sandringham Ambulatory Care Centre","Sandringham","VIC",3191,145.01818157,-37.96090904,"General practice service","GP",11
"Top Ryde Early Childhood Health Centre","Ryde","NSW",2112,151.10845571,-33.81367424,"Maternal, child and family health service","GP",17
"Absolute Health & Skin Clinic","Norman Gardens","QLD",4701,150.52160154,-23.34232581,"General practice service","GP",2
"Inner Care Family Health Clinic","Point Cook","VIC",3030,144.74023427,-37.89907299,"General practice service","GP",18
"St Marys Community Health Centre","St Marys","TAS",7215,148.18126075,-41.57586086,"Maternal, child and family health service","GP",23
"Maroochydore Doctors @ Sunshine Plaza","Maroochydore","QLD",4558,153.08963629,-26.6537869,"General practice service","GP",20
"Apple City Family Medicine","Orange","NSW",2800,149.099853515625,-33.2798004150391,"General practice service","GP",32
"Dr Maureen Harrington's Practice","Sydney","NSW",2000,151.207763671875,-33.8737716674805,"General practice service","GP",64
"Gower Wilson Multi Purpose Service","Lord Howe Island","NSW",2898,159.067975143637,-31.5290203151676,"General practice service","GP",2
"Rural Doctors","Nhill","VIC",3418,141.6531026,-36.3336538,"General practice service","GP",5
"Mimosa Medical Clinic","Woorabinda","QLD",4713,149.455062,-24.133544,"General practice service","GP",3
"Greystanes Family Doctors","Greystanes","NSW",2145,150.93798828125,-33.8275871276856,"General practice service","GP",5
"Clinic 66","Chatswood","NSW",2067,151.1866518,-33.7960713,"General practice service","GP",31
"Dr M A Nambiar Family Practice","Belconnen","ACT",2617,149.065063476563,-35.2353858947754,"General practice service","GP",14
"Deakin University Medical Centre - Waterfront Campus","Geelong","VIC",3220,144.36048045,-38.14386321,"General practice service","GP",24
"Our Gp Medical Centre Spring Hill","Spring Hill","QLD",4000,153.022896,-27.460847,"General practice service","GP",14
"Maternal And Child Health Centre - Robinvale","Robinvale","VIC",3549,142.78105061,-34.58415086,"Maternal, child and family health service","GP",6
"Goonellabah Medical Centre","Goonellabah","NSW",2480,153.324905395508,-28.8175010681152,"General practice service","GP",7
"Doctors On Bryants","Shailer Park","QLD",4128,153.179061889648,-27.6631813049316,"General practice service","GP",4
"Chandlers Hill Surgery","Happy Valley","SA",5159,138.587112426758,-35.0867958068848,"General practice service","GP",3
"Westgate Medical Centre - Werribee","Werribee","VIC",3030,144.678024291992,-37.8774833679199,"General practice service","GP",34
"Ballarat Group Practice - Howitt St","Wendouree","VIC",3355,143.83772277832,-37.5412864685059,"General practice service","GP",9
"Dalwood Family Care Centre","Seaforth","NSW",2092,151.23948296,-33.79300558,"Maternal, child and family health service","GP",4
"Adelaide River Community Health Centre","Adelaide River","NT",846,131.104232788086,-13.2366104125977,"General practice service","GP",1
"Rarms Health - Collarenebri","Collarenebri","NSW",2833,148.57601621,-29.5453378,"General practice service","GP",5
"Bowenfels Medical Practice - Lithgow","South Bowenfels","NSW",2790,150.1264073,-33.50053942,"General practice service","GP",1
"Elizabeth Drive Medical Centre","Liverpool","NSW",2170,150.91129867,-33.91602542,"General practice service","GP",38
"Baralaba Private Clinic","Baralaba","QLD",4702,149.809356689453,-24.1844024658203,"General practice service","GP",3
"Moranbah Hospital - Midwifery Clinic","Moranbah","QLD",4744,148.05582996,-22.00246638,"Maternal, child and family health service","GP",6
"Craigieburn Family Medical Centre","Craigieburn","VIC",3064,144.939407348633,-37.5983428955078,"General practice service","GP",30
"Freo Street Doctor","Fremantle","WA",6160,115.746002197266,-32.0530014038086,"General practice service","GP",17
"Maternal And Child Health Centre - Dandenong South","Dandenong","VIC",3175,145.20808321,-37.99631072,"Maternal, child and family health service","GP",35
"Gloucester Medico","Gloucester","NSW",2422,151.96463351,-32.00832029,"General practice service","GP",5
"Medical One - Sunshine","Sunshine","VIC",3020,144.833648681641,-37.7823371887207,"General practice service","GP",22
"Marina Medical Practice","Minyama","QLD",4575,153.12441598,-26.7003294,"General practice service","GP",6
"West End Medical","Fremantle","WA",6160,115.745512,-32.055294,"General practice service","GP",17
"Elite Med Sanctuary Cove","Hope Island","QLD",4212,153.361658321285,-27.8533466613786,"General practice service","GP",9
"The Medical Centre Of Gympie","Gympie","QLD",4570,152.660430908203,-26.1865234375,"General practice service","GP",18
"Collingwood Beach Medical Practice","Vincentia","NSW",2540,150.676376342773,-35.0699691772461,"General practice service","GP",6
"21 Hunter Street Medical Practice","Hornsby","NSW",2077,151.100234985352,-33.7034873962402,"General practice service","GP",28
"Ashmore Road Family Practice","Benowa","QLD",4217,153.396377563477,-28.0093765258789,"General practice service","GP",9
"Mill Park Drive Maternal & Child Health Centre","Mill Park","VIC",3082,145.066436767578,-37.6743125915527,"Maternal, child and family health service","GP",19
"Applecross Village Medical Centre","Applecross","WA",6153,115.835983276367,-32.0195503234863,"General practice service","GP",5
"Shalom Medical Centre","Mandurah","WA",6210,115.732208251953,-32.5297508239746,"General practice service","GP",18
"Seoul Family Medical Clinic","Campsie","NSW",2194,151.10435816,-33.91072218,"General practice service","GP",26
"Wheatbelt Health Network - Northam","Northam","WA",6401,116.6571181,-31.65139088,"General practice service","GP",8
"Smartclinics Taigum","Taigum","QLD",4018,153.04804195,-27.35005205,"General practice service","GP",2
"Doctors At Landsborough","Landsborough","QLD",4550,152.96555415,-26.80857611,"General practice service","GP",3
"Babbingur Mia","Rockingham","WA",6168,115.75234,-32.28558,"Aboriginal and Torres Strait Islander health service","GP",15
"Healthplus Medical Centre - Illawong","Illawong","NSW",2234,151.03152245,-33.99858415,"General practice service","GP",1
"Myhealth Fairfield","Fairfield","NSW",2165,150.956451416016,-33.8692245483398,"General practice service","GP",41
"Wecare Medical Group","Mount Ommaney","QLD",4074,152.938987981526,-27.5499442163139,"General practice service","GP",4
"Whitebridge Medical Centre","Whitebridge","NSW",2290,151.70772743,-32.97822289,"General practice service","GP",2
"Collinsville Family Practice","Collinsville","QLD",4804,147.83761098,-20.54639938,"General practice service","GP",4
"South Yarra Clinic","South Yarra","VIC",3141,144.996231079102,-37.8378486633301,"General practice service","GP",17
"Narangba Station Medical Centre","Narangba","QLD",4504,152.95968097,-27.20297296,"General practice service","GP",5
"Parramatta Park View Medical Centre","Parramatta","NSW",2150,150.998138427734,-33.8142585754395,"General practice service","GP",19
"Burwood Family Medical Centre","Burwood","NSW",2134,151.101776123047,-33.8784637451172,"General practice service","GP",28
"North Coast Women's Health Centre","Mooloolaba","QLD",4557,153.114700317383,-26.6913719177246,"General practice service","GP",7
"Craigmore Family Practice","Craigmore","SA",5114,138.70625605,-34.70918885,"General practice service","GP",3
"Beaches Family Practice - Kewarra","Kewarra Beach","QLD",4879,145.68105542,-16.79048295,"General practice service","GP",2
"Kandos Advance Medical Centre","Kandos","NSW",2848,149.979690551758,-32.8579635620117,"General practice service","GP",3
"Gemfields Outpatient Clinic","Sapphire Central","QLD",4702,147.72056506,-23.4625665,"Nurse led clinic","GP",2
"The Doctors Mackay","West Mackay","QLD",4740,149.16288931,-21.15104199,"General practice service","GP",7
"Sundale Medical","Southport","QLD",4215,153.41957692,-27.97454466,"General practice service","GP",40
"Maternal And Child Health Centre - Rokewood","Rokewood","VIC",3330,143.72095155,-37.9016144,"Maternal, child and family health service","GP",1
"Isaac Family Clinic","Avondale Heights","VIC",3034,144.861572265625,-37.7527389526367,"General practice service","GP",4
"Myhealth Wellington Point","Wellington Point","QLD",4160,153.23753222,-27.50957601,"General practice service","GP",5
"North Ryde Medical Centre","North Ryde","NSW",2113,151.12245412,-33.79485956,"General practice service","GP",11
"Bibra Lake Medical Centre","Bibra Lake","WA",6163,115.840309143066,-32.0927581787109,"General practice service","GP",2
"Browns Plains Community Health Centre","Hillcrest","QLD",4118,153.0291968,-27.67504877,"Nurse led clinic","GP",10
"Vincentia Medical Centre","Vincentia","NSW",2540,150.655654907227,-35.073917388916,"General practice service","GP",6
"Vitality Solutions","South Gladstone","QLD",4680,151.26546504,-23.85054378,"General practice service","GP",3
"Miami Family Medical Centre","Miami","QLD",4220,153.44445232,-28.0752326,"General practice service","GP",7
"St Andrews Medical Centre","St Andrews","NSW",2566,150.83248526,-34.02165582,"General practice service","GP",2
"Ipswich Road Medical Centre","Annerley","QLD",4103,153.03136476,-27.51421209,"General practice service","GP",7
"Freshwater Health Clinic","Freshwater","NSW",2096,151.29285238,-33.77916466,"General practice service","GP",4
"One Point Medical","Prahran","VIC",3181,144.99766024,-37.84749849,"General practice service","GP",16
"Australian Red Cross - Derby","Derby","WA",6728,123.629531860352,-17.3024883270264,"Aboriginal and Torres Strait Islander health service","GP",7
"Metella Road Family Practice","Toongabbie","NSW",2146,150.935181,-33.79496,"General practice service","GP",10
"Leura General Practice","Leura","NSW",2780,150.332946777344,-33.7127151489258,"General practice service","GP",2
"Lower Eyre Family Practice","Cummins","SA",5631,135.733016967773,-34.2639350891113,"General practice service","GP",3
"Albert St Cbd Medical Centre","Brisbane City","QLD",4000,153.026092529297,-27.470983505249,"General practice service","GP",28
"Maternal And Child Health Centre - Clayton","Clayton","VIC",3168,145.117263793945,-37.9272994995117,"Maternal, child and family health service","GP",19
"Moonee Vale Clinic","Moonee Ponds","VIC",3039,144.920974731445,-37.7674446105957,"General practice service","GP",16
"Buloke Shire Council - Sea Lake","Sea Lake","VIC",3533,142.85311277,-35.5036894,"Maternal, child and family health service","GP",4
"Busselton Medical Practice","Busselton","WA",6280,115.343879699707,-33.6519737243652,"General practice service","GP",10
"Aiya Medical Centre","Homebush","NSW",2140,151.08736479,-33.86557816,"General practice service","GP",4
"St Kilda Family Medical Centre","St Kilda","VIC",3182,144.980377197266,-37.8689651489258,"General practice service","GP",15
"Lochinvar Medical Centre","Lochinvar","NSW",2321,151.45316643,-32.69854585,"General practice service","GP",1
"Dr D Khoo - General Practitioner","Coombabah","QLD",4216,153.385131835938,-27.8996963500977,"General practice service","GP",4
"Perth Medical Centre","Perth","WA",6000,115.857402,-31.953992,"General practice service","GP",37
"Caboolture Super Clinic","Caboolture","QLD",4510,152.949325561523,-27.0821056365967,"General practice service","GP",21
"Craicchs - Kingaroy","Kingaroy","QLD",4610,151.83745332,-26.53931286,"General practice service","GP",11
"Med For Men","Ashgrove","QLD",4060,152.98881021,-27.43479634,"General practice service","GP",9
"Leichhardt Early Childhood Health Centre Community Nursing Service Child And Family Health","Leichhardt","NSW",2040,151.1583777,-33.887211,"Maternal, child and family health service","GP",17
"Centacare Home Safety Services - Logan/beenleigh","Slacks Creek","QLD",4127,153.12923607,-27.63110648,"Aboriginal and Torres Strait Islander health service","GP",4
"Life Medical Clinic - Waterloo","Waterloo","NSW",2017,151.211791992188,-33.899040222168,"General practice service","GP",6
"Bundaberg Hospital - Breastscreen","Bundaberg West","QLD",4670,152.33366619,-24.86911722,"Community cancer service","GP",16
"Yamba Doctors","Yamba","NSW",2464,153.32775341,-29.42837706,"General practice service","GP",6
"Heritage Medical Practice Wahroonga","Wahroonga","NSW",2076,151.11770082,-33.718658,"General practice service","GP",12
"The Travel Gp - Dr Stacey Ler","Southport","QLD",4215,153.40928795,-27.97197463,"General practice service","GP",40
"Headspace Southport","Southport","QLD",4215,153.413574,-27.96361,"General practice service","GP",40
"Bv Circa Medical Centre","Bella Vista","NSW",2153,150.95221989,-33.7462782,"General practice service","GP",11
"Golden City Medical Clinic","Ironbark","VIC",3550,144.264999389648,-36.756160736084,"General practice service","GP",1
"Dr K. Malia","Seven Hills","NSW",2147,150.934844970703,-33.7905120849609,"General practice service","GP",16
"Tailored Medical Group","Port Melbourne","VIC",3207,144.939224243164,-37.8416252136231,"General practice service","GP",10
"Practice Of Dr. John Wong","Ringwood","VIC",3134,145.226272583008,-37.8155975341797,"General practice service","GP",16
"Paramount Medical Clinic","Melbourne","VIC",3000,144.96971933,-37.81171935,"General practice service","GP",57
"Dysart Medical Centre","Dysart","QLD",4745,148.35319063,-22.58307089,"General practice service","GP",4
"Maternal And Child Health Centre - Moyston","Moyston","VIC",3377,142.76776254,-37.30079988,"Maternal, child and family health service","GP",1
"Bulgarr Ngaru Medical Aboriginal Corporation - Grafton","Grafton","NSW",2460,152.934524536133,-29.6872291564941,"General practice service","GP",13
"Tooronga Family Medical Clinic","Glen Iris","VIC",3146,145.04594103,-37.84562548,"General practice service","GP",11
"Myhealth Sydney Cbd","Sydney","NSW",2000,151.20898782,-33.87193829,"General practice service","GP",64
"Mooloolaba Family Medicine","Mooloolaba","QLD",4557,153.11860655,-26.68114813,"General practice service","GP",7
"Bethania Surgery","Bethania","QLD",4205,153.15705887,-27.68744773,"General practice service","GP",4
"M3 Health Bayswater","Bayswater","VIC",3153,145.26628112793,-37.8423767089844,"General practice service","GP",12
"Shp Hay Street Perth","Perth","WA",6000,115.85393,-31.95289,"General practice service","GP",37
"Butler Boulevard Medical Centre","Butler","WA",6036,115.69938659668,-31.6363182067871,"General practice service","GP",8
"The Good Shepherd Medical Centre - Port Macquarie","Port Macquarie","NSW",2444,152.8855954,-31.44863281,"General practice service","GP",31
"Springwood Mall Medical Centre","Springwood","QLD",4127,153.12631565,-27.61389216,"General practice service","GP",17
"Bondi Road Doctors","Bondi Junction","NSW",2022,151.255416870117,-33.8930015563965,"General practice service","GP",27
"West End Medical Practice","West End","QLD",4101,153.01368493,-27.4792542,"General practice service","GP",10
"Gowan Road Medical Centre","Sunnybank Hills","QLD",4109,153.0650997,-27.59710877,"General practice service","GP",12
"Marina Family Medical","Coomera","QLD",4209,153.36872757,-27.84607406,"General practice service","GP",13
"John Parry Medical Centre","Narrogin","WA",6312,117.16739654541,-32.9366302490234,"General practice service","GP",4
"Westcare Medical","Bankstown","NSW",2200,151.036651611328,-33.9187850952148,"General practice service","GP",42
"Nhs Australia Medical Centre Blue Haven","Blue Haven","NSW",2262,151.498229980469,-33.2068634033203,"General practice service","GP",1
"Sydney Street Medical","Mackay","QLD",4740,149.18735676,-21.14434613,"General practice service","GP",16
"Lagoon Medical Centre","Yangebup","WA",6164,115.79705188,-32.12675109,"General practice service","GP",4
"York Street Medical Centre","Beaconsfield","WA",6162,115.774566650391,-32.0714263916016,"General practice service","GP",12
"Mt View Doctors","Redbank Plains","QLD",4301,152.8522214,-27.65171759,"General practice service","GP",5
"Augusta Clinic","Augusta","WA",6290,115.15990477,-34.31550626,"General practice service","GP",3
"Isra Medical Services Lakemba - After Hours","Lakemba","NSW",2195,151.07751369,-33.92137367,"General practice service","GP",15
"Emerald Lakes Medical Clinic","Carrara","QLD",4211,153.373923,-28.015647,"General practice service","GP",6
"Victoria Street Medical Clinic","Warragul","VIC",3820,145.93000793457,-38.162223815918,"General practice service","GP",13
"Lakeside Medical Practice Warilla","Warilla","NSW",2528,150.86071637,-34.55116015,"General practice service","GP",5
"Emu Plains Doctors","Emu Plains","NSW",2750,150.66108058,-33.75285727,"General practice service","GP",9
"Women's Wellbeing","Greenslopes","QLD",4120,153.05158996582,-27.508846282959,"General practice service","GP",9
"South East Industrial Health","Hampton Park","VIC",3976,145.26851846,-38.03160746,"General practice service","GP",9
"Family Health Clinic Malvern","Malvern","VIC",3144,145.02847992,-37.86279084,"General practice service","GP",15
"The Mama Centre - Sunshine Coast","Buderim","QLD",4556,153.05101544,-26.68651532,"Maternal, child and family health service","GP",17
"Maternal And Child Health Centre - Gowanbrae","Gowanbrae","VIC",3043,144.90014416,-37.70292118,"Maternal, child and family health service","GP",1
"Mq Health General Practice - Macquarie University","Macquarie University","NSW",2109,151.118026733398,-33.7736740112305,"General practice service","GP",3
"Westside Gp Superclinic","Westlake","QLD",4074,152.91757863,-27.54521193,"General practice service","GP",1
"Victoria Medical Centre","St Kilda","VIC",3182,144.974563598633,-37.8634605407715,"General practice service","GP",15
"Pelican Waters Family Doctors","Pelican Waters","QLD",4551,153.10847817,-26.83365476,"General practice service","GP",2
"Brimbank Enhanced Maternal And Child Health Service","Sunshine","VIC",3020,144.837265014648,-37.784065246582,"Maternal, child and family health service","GP",22
"Greenway Medical Hub","Wetherill Park","NSW",2164,150.8954672,-33.8502572,"General practice service","GP",6
"Gp Access After Hours - Calvary Mater Clinic","Waratah","NSW",2298,151.720651906855,-32.8985569419845,"General practice service","GP",5
"Lakes Tyers Health And Children's Service","Toorloo Arm","VIC",3909,148.09543184,-37.78311816,"General practice service","GP",1
"Darley Street Medical Practice","Forestville","NSW",2087,151.213638305664,-33.762565612793,"General practice service","GP",5
"Wundowie Child Health Centre","Wundowie","WA",6560,116.384346008301,-31.7596683502197,"Maternal, child and family health service","GP",1
"Quality Care Family Doctors","Burwood","NSW",2134,151.10395378,-33.87813621,"General practice service","GP",28
"Mawson Medical Centre","Hove","SA",5048,138.522979736328,-35.0128479003906,"General practice service","GP",5
"Elizabeth Family Health","Elizabeth","SA",5112,138.671646118164,-34.7170448303223,"General practice service","GP",8
"The Station Medical Clinic","Chatswood","NSW",2067,151.18152273,-33.79701564,"General practice service","GP",31
"Nillumbik Medical Centre","Eltham","VIC",3095,145.149536132813,-37.7113227844238,"General practice service","GP",8
"Gp Plus Super Clinic Modbury - Smart Road","Modbury","SA",5092,138.692352294922,-34.8335494995117,"General practice service","GP",14
"Helena Valley Medical Centre","Helena Valley","WA",6056,116.047836303711,-31.9215335845947,"General practice service","GP",2
"Observatory Tower Medical Centre","Millers Point","NSW",2000,151.2042489,-33.86223106,"General practice service","GP",2
"Batemans Bay Medical Centre","Batemans Bay","NSW",2536,150.18115234375,-35.7142105102539,"General practice service","GP",7
"The Surgery At Jerra","Jerrabomberra","NSW",2619,149.20093989,-35.38571098,"General practice service","GP",3
"Mariners Medical Tuggerah","Tuggerah","NSW",2259,151.42286914,-33.31315439,"General practice service","GP",9
"Gp Access After Hours - John Hunter Clinic","New Lambton Heights","NSW",2305,151.69595277,-32.91822493,"General practice service","GP",7
"Somerly Central Medical Centre","Clarkson","WA",6030,115.73656463623,-31.6905574798584,"General practice service","GP",7
"Robina Medical Centre","Robina","QLD",4226,153.394393920898,-28.0682945251465,"General practice service","GP",27
"Whitford City Family Practice","Hillarys","WA",6025,115.73851776123,-31.8149452209473,"General practice service","GP",9
"19th Avenue Family Practice","Elanora","QLD",4221,153.4527266,-28.12027636,"General practice service","GP",5
"Paddington Doctors","Paddington","NSW",2021,151.22763001,-33.88491424,"General practice service","GP",10
"Donnybrook Medical Services","Donnybrook","WA",6239,115.816581726074,-33.5769081115723,"General practice service","GP",5
"Maternal And Child Health Centre - Hamilton","Hamilton","VIC",3300,142.03166411,-37.73493234,"Maternal, child and family health service","GP",20
"Ufs Medical Centre - Lucas","Lucas","VIC",3350,143.78274032,-37.545331,"General practice service","GP",3
"Sunnybank Hills Family Practice","Sunnybank Hills","QLD",4109,153.05555593,-27.6103982,"General practice service","GP",12
"Parkwood Green Medical - Romsey","Romsey","VIC",3434,144.74201965332,-37.3474655151367,"General practice service","GP",5
"Alpha Omega Family Practice","Ellenbrook","WA",6069,115.97413,-31.77724,"General practice service","GP",14
"Ipswich Skin Clinic","Brassall","QLD",4305,152.74797109,-27.59711744,"General practice skin cancer service","GP",4
"Northpark Medical Centre","Prospect","SA",5082,138.6004123,-34.8832246,"General practice service","GP",14
"Medpods Medical Centre Doreen","Doreen","VIC",3754,145.13640697,-37.60617641,"General practice service","GP",9
"One Healthcare - Woodside","Woodside","SA",5244,138.878646850586,-34.953784942627,"General practice service","GP",3
"Burringurrah Nursing Post","East Lyons River","WA",6705,116.933029174805,-24.6504440307617,"Nurse led clinic","GP",1
"Recs Medical","Bentleigh East","VIC",3165,145.0834728,-37.91705585,"General practice service","GP",13
"Mill House Medical Centre","Middleton","SA",5213,138.710006713867,-35.5078010559082,"General practice service","GP",2
"St Albans Medical Services","St Albans","VIC",3021,144.805221557617,-37.7445755004883,"General practice service","GP",27
"Pacific Family Medical Centre","Gosford","NSW",2250,151.34420909,-33.42260383,"General practice service","GP",10
"Newhaven Medical Clinic","Newhaven","VIC",3925,145.35930567,-38.51410262,"General practice service","GP",1
"Recherche Medical Centre","Esperance","WA",6450,121.892906188965,-33.8586273193359,"General practice service","GP",7
"Parfrey Place Medical Centre","Rochedale South","QLD",4123,153.137405395508,-27.6067638397217,"General practice service","GP",8
"Calvary Mater Newcastle Hospital Palliative Care Nursing Service","Waratah","NSW",2298,151.721801757813,-32.8986396789551,"Nurse led clinic","GP",5
"Bedford Family Practice","Bedford","WA",6052,115.880859375,-31.9083766937256,"General practice service","GP",4
"Northern Beaches Skin Cancer Clinic","Warriewood","NSW",2102,151.286239624023,-33.6774673461914,"General practice skin cancer service","GP",4
"Nunkuwarrin Yunti - Paralowie Clinic","Paralowie","SA",5108,138.62115236,-34.7502474,"General practice service","GP",4
"Laurieton Health Medical Centre","Laurieton","NSW",2443,152.796310424805,-31.6448822021484,"General practice service","GP",5
"Derbarl Yerrigan Health Service - East Perth","East Perth","WA",6004,115.86952466,-31.95280605,"General practice service","GP",9
"Maternal And Child Health Centre - Delungra","Delungra","NSW",2403,150.83216277,-29.65341872,"Maternal, child and family health service","GP",1
"Coolah Multi Purpose Service General Nursing Service","Coolah","NSW",2843,149.70999185,-31.82153595,"Nurse led clinic","GP",5
"Dr Nabil Assaad Surgery - Punchbowl","Punchbowl","NSW",2196,151.05600045,-33.92387635,"General practice service","GP",11
"Riverland General Hospital","Berri","SA",5343,140.60156151,-34.27606967,"Aboriginal and Torres Strait Islander health service","GP",7
"Pakenham Family Medical Centre","Pakenham","VIC",3810,145.47783696,-38.07099205,"General practice service","GP",21
"Family Doctors Plus","Windsor","QLD",4030,153.03339352,-27.4290997,"General practice service","GP",17
"Boulia Phc","Boulia","QLD",4829,139.909317016602,-22.9095420837402,"Nurse led clinic","GP",1
"The Banyans Medical Centre And Specialist Clinics","Bowen Hills","QLD",4006,153.03963731,-27.44151545,"General practice service","GP",3
"Deception Bay Community Youth Programs","Deception Bay","QLD",4508,153.02231839,-27.1912043,"Maternal, child and family health service","GP",12
"Port Augusta Hospital And Regional Health Services","Port Augusta","SA",5700,137.77592994,-32.50988376,"Aboriginal and Torres Strait Islander health service","GP",11
"Atticus Health Medical Clinic - Highett","Highett","VIC",3190,145.039038701122,-37.9485918317495,"General practice service","GP",6
"Holland Park Family Medical Practice","Holland Park West","QLD",4121,153.06271828,-27.51990359,"General practice service","GP",5
"Barbara Boulevard Medical Centre","Seven Hills","NSW",2147,150.92317034,-33.7712373,"General practice service","GP",16
"Tambo Primary Health Centre","Tambo","QLD",4478,146.249069213867,-24.880428314209,"Nurse led clinic","GP",2
"Streaky Bay And District Medical Clinic","Streaky Bay","SA",5680,134.217712402344,-32.792781829834,"General practice service","GP",2
"Quality Medical Practice","Merrylands","NSW",2160,150.974151611328,-33.8330421447754,"General practice service","GP",22
"Dr Yiotoula Sotiropoulos","Bexley","NSW",2207,151.127212524414,-33.9487915039063,"General practice service","GP",6
"Amtan Medical Centre Hope Island","Hope Island","QLD",4212,153.36397479,-27.87763554,"General practice service","GP",9
"Bondi Road Medical Centre","Bondi","NSW",2026,151.26510561,-33.89383495,"General practice service","GP",6
"Maternal And Child Health Centre - Laurimar","Doreen","VIC",3754,145.125793457031,-37.5865325927734,"Maternal, child and family health service","GP",9
"Banyule Community Health Service - Heidelberg West","Heidelberg West","VIC",3081,145.040588378906,-37.7395553588867,"Maternal, child and family health service","GP",6
"Maternal And Child Health - Pakenham Springs - Livingstone Boulevard","Officer","VIC",3809,145.42080677,-38.05350472,"Maternal, child and family health service","GP",12
"Md Medical Centre","Rosebery","NSW",2018,151.20078241,-33.92229055,"General practice service","GP",11
"Rangeview Medical Centre","Mitcham","VIC",3132,145.19509144,-37.82813728,"General practice service","GP",7
"St Kerellos Medical Centre","Mentone","VIC",3194,145.065612792969,-37.9829292297363,"General practice service","GP",6
"Kyabram District Health Service","Kyabram","VIC",3620,145.04237653,-36.31553324,"Nurse led clinic","GP",8
"Health Hub Narwee","Narwee","NSW",2209,151.07069404,-33.94666707,"General practice service","GP",6
"Ngala Swan Communities For Children","Ellenbrook","WA",6069,115.96626097,-31.78206737,"Maternal, child and family health service","GP",14
"Camooweal Health Clinic","Camooweal","QLD",4828,138.12199446,-19.91815774,"Nurse led clinic","GP",2
"Coastal Lakes Medical Practice Lake Munmorah","Lake Munmorah","NSW",2259,151.55987068,-33.18818565,"General practice service","GP",4
"Paddington Childrens Services","Paddington","NSW",2021,151.22774891,-33.88273608,"Maternal, child and family health service","GP",10
"Batavia Health","West End","WA",6530,114.602256774902,-28.7775707244873,"General practice service","GP",10
"Wiluna Community Health Service","Wiluna","WA",6646,120.228080749512,-26.5951652526855,"General practice service","GP",1
"Mount Claremont Medical Centre","Mount Claremont","WA",6010,115.775894,-31.966379,"General practice service","GP",3
