RA_CODE21,RA_NAME21,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM21,LOCI_URI21,ORGANISATION_NAME,SUBURB,STATE,POSTCODE,LONGITUDE,LATITUDE,NHSD_SERVICE_TYPE,GA_CLASS
54,Very Remote Australia,5,Western Australia,AUS,Australia,2244264.4273,https://linked.data.gov.au/dataset/asgsed3/RA/54,Varley Nursing Post,Varley,WA,6355,119.511215209961,-32.7939567565918,Nurse led clinic,GP
55,Migratory - Offshore - Shipping (WA),5,Western Australia,AUS,Australia,,https://linked.data.gov.au/dataset/asgsed3/RA/55,,,,,,,,
59,No usual address (WA),5,Western Australia,AUS,Australia,,https://linked.data.gov.au/dataset/asgsed3/RA/59,,,,,,,,
61,Inner Regional Australia,6,Tasmania,AUS,Australia,2283.0965,https://linked.data.gov.au/dataset/asgsed3/RA/61,Longford Child Health Centre,Longford,TAS,7301,147.12126159668,-41.5928497314453,"Maternal, child and family health service",GP
62,Outer Regional Australia,6,Tasmania,AUS,Australia,37283.2022,https://linked.data.gov.au/dataset/asgsed3/RA/62,Ochre Medical Centre Smithton,Smithton,TAS,7330,145.124435424805,-40.8393821716309,General practice service,GP
63,Remote Australia,6,Tasmania,AUS,Australia,25358.8755,https://linked.data.gov.au/dataset/asgsed3/RA/63,Bicheno General Practice,Bicheno,TAS,7215,148.296920776367,-41.8740730285645,General practice service,GP
64,Very Remote Australia,6,Tasmania,AUS,Australia,3092.3651,https://linked.data.gov.au/dataset/asgsed3/RA/64,Ochre Health Medical Centre - King Island,Currie,TAS,7256,143.85789406,-39.92981715,General practice service,GP
65,Migratory - Offshore - Shipping (Tas.),6,Tasmania,AUS,Australia,,https://linked.data.gov.au/dataset/asgsed3/RA/65,,,,,,,,
69,No usual address (Tas.),6,Tasmania,AUS,Australia,,https://linked.data.gov.au/dataset/asgsed3/RA/69,,,,,,,,
72,Outer Regional Australia,7,Northern Territory,AUS,Australia,3167.7034,https://linked.data.gov.au/dataset/asgsed3/RA/72,Danila Dilba - Palmerston Clinic,Palmerston City,NT,830,130.98664128,-12.48200253,Aboriginal and Torres Strait Islander health service,GP
73,Remote Australia,7,Northern Territory,AUS,Australia,95379.9038,https://linked.data.gov.au/dataset/asgsed3/RA/73,Nganampa Health Council - Alice Springs Admin Office,Ciccone,NT,870,133.870742797852,-23.7006855010986,Aboriginal and Torres Strait Islander health service,GP
74,Very Remote Australia,7,Northern Territory,AUS,Australia,1249586.8859,https://linked.data.gov.au/dataset/asgsed3/RA/74,Ali Curung Primary Health Centre,Ali Curung,NT,872,134.4052917,-21.0034615,General practice service,GP
75,Migratory - Offshore - Shipping (NT),7,Northern Territory,AUS,Australia,,https://linked.data.gov.au/dataset/asgsed3/RA/75,,,,,,,,
79,No usual address (NT),7,Northern Territory,AUS,Australia,,https://linked.data.gov.au/dataset/asgsed3/RA/79,,,,,,,,
80,Major Cities of Australia,8,Australian Capital Territory,AUS,Australia,586.062,https://linked.data.gov.au/dataset/asgsed3/RA/80,Florey Medical Centre,Florey,ACT,2615,149.054000854492,-35.2258491516113,General practice service,GP
81,Inner Regional Australia,8,Australian Capital Territory,AUS,Australia,1772.071,https://linked.data.gov.au/dataset/asgsed3/RA/81,,,,,,,,
85,Migratory - Offshore - Shipping (ACT),8,Australian Capital Territory,AUS,Australia,,https://linked.data.gov.au/dataset/asgsed3/RA/85,,,,,,,,
89,No usual address (ACT),8,Australian Capital Territory,AUS,Australia,,https://linked.data.gov.au/dataset/asgsed3/RA/89,,,,,,,,
91,Inner Regional Australia,9,Other Territories,AUS,Australia,67.2296,https://linked.data.gov.au/dataset/asgsed3/RA/91,,,,,,,,
94,Very Remote Australia,9,Other Territories,AUS,Australia,188.5124,https://linked.data.gov.au/dataset/asgsed3/RA/94,Indian Ocean Territory Health Service,Christmas Island,WA,6798,105.686676025391,-10.4393396377563,General practice service,GP
95,Migratory - Offshore - Shipping (OT),9,Other Territories,AUS,Australia,,https://linked.data.gov.au/dataset/asgsed3/RA/95,,,,,,,,
99,No usual address (OT),9,Other Territories,AUS,Australia,,https://linked.data.gov.au/dataset/asgsed3/RA/99,,,,,,,,
ZZ,Outside Australia,Z,Outside Australia,ZZZ,Outside Australia,,https://linked.data.gov.au/dataset/asgsed3/RA/ZZ,,,,,,,,
