ORGANISATION_NAME,SUBURB,STATE,POSTCODE,LONGITUDE,LATITUDE,NHSD_SERVICE_TYPE,GA_CLASS
Hervey Bay Doctors,Pialba,QLD,4655,152.84148009,-25.2877356,General practice service,GP
Woodford Family Medical Centre,Woodford,QLD,4514,152.77532958984400,-26.951509475708000,General practice service,GP
Family Medical Practice Springvale,Springvale,VIC,3171,145.15403747558600,-37.9409294128418,General practice service,GP
Glenfield Health Care Medical & Dental Centre,Mount Druitt,NSW,2770,150.81729125976600,-33.76252746582030,General practice service,GP
Ord Valley Aboriginal Health Service (Ovahs),Kununurra,WA,6743,128.73570251464800,-15.767060279846200,Aboriginal and Torres Strait Islander health service,GP
Traralgon Polyclinic,Traralgon,VIC,3844,146.5462056576600,-38.193532086874800,General practice service,GP
Warner Family Medical Practice,Warner,QLD,4500,152.952581,-27.291645,"Maternal, child and family health service",GP
Keilor Downs Medi-Clinic,Keilor Downs,VIC,3038,144.80906677246100,-37.7286262512207,General practice service,GP
Central Gippsland Health Service,Sale,VIC,3850,147.0808563232420,-38.10786056518560,"Maternal, child and family health service",GP
Cambridge Medical Centre,Glen Waverley,VIC,3150,145.14511108398400,-37.89114761352540,General practice service,GP
Community And Allied Health,Roma,QLD,4455,148.77382,-26.56981,Aboriginal and Torres Strait Islander health service,GP
Baxter Park Medical Centre,Frankston South,VIC,3199,145.14195251464800,-38.18465042114260,General practice service,GP
Merrylands Family Practice,Merrylands,NSW,2160,150.98983764648400,-33.83620834350590,General practice service,GP
Royal Brisbane And Women's Hospital - Acute Care Services - Metro North Mental Health,Fortitude Valley,QLD,4006,153.03211975097700,-27.457204818725600,Aboriginal and Torres Strait Islander health service,GP
Gladstone Street Medical Clinic,Warragul,VIC,3820,145.9370574951170,-38.161407470703100,General practice service,GP
Maternal And Child Health Centre - Fairfield,Fairfield,VIC,3078,145.0191650390630,-37.777565002441400,"Maternal, child and family health service",GP
Lake Bolac Bush Nursing Centre,Lake Bolac,VIC,3351,142.83811950683600,-37.71461868286130,Nurse led clinic,GP
Victoria Street Clinic,Ulverstone,TAS,7315,146.17356872558600,-41.158260345459000,General practice service,GP
Craicchs - Cherbourg Regional Aboriginal & Islander Community Controlled Health Services,Cherbourg,QLD,4605,151.9560546875,-26.28912925720220,Aboriginal and Torres Strait Islander health service,GP
Tatura Medical Centre,Tatura,VIC,3616,145.23165893554700,-36.43947982788090,General practice service,GP
Carbal Medical Services,Toowoomba City,QLD,4350,151.948282,-27.558107,Aboriginal and Torres Strait Islander health service,GP
Maternal And Child Health Centre - Rye,Rye,VIC,3941,144.8214111328130,-38.371395111084000,"Maternal, child and family health service",GP
Gumeracha Medical Practice,Gumeracha,SA,5233,138.883737,-34.824073,General practice service,GP
Wallace Street Medical Centre,Braidwood,NSW,2622,149.799298,-35.446837,General practice service,GP
Peterborough Child And Family Health Centre,Peterborough,SA,5422,138.838623046875,-32.973236083984400,"Maternal, child and family health service",GP
Fitzroy Crossing Community Health,Fitzroy Crossing,WA,6765,125.56327056884800,-18.19051170349120,"Maternal, child and family health service",GP
Calamvale Family Practice,Calamvale,QLD,4116,153.04588757,-27.63065644,General practice skin cancer service,GP
Letitia Street Clinic,Oatley,NSW,2223,151.08131408691400,-33.98141860961910,General practice service,GP
Cadogan Medical,Nundah,QLD,4012,153.05877685546900,-27.398508071899400,General practice service,GP
Abbotsford Cove General Practice,Five Dock,NSW,2046,151.12894306,-33.86738094,General practice service,GP
Vineyard Medical Centre,Sunbury,VIC,3429,144.7193145751950,-37.586978912353500,General practice service,GP
Bentley Child Development Service,Bentley,WA,6102,115.94617462158200,-31.99795150756840,"Maternal, child and family health service",GP
Eugowra Multi Purpose Service Ambulatory Care Clinic,Eugowra,NSW,2806,148.36715698242200,-33.42385482788090,Nurse led clinic,GP
Bakers Family Medical Centre,Newtown,QLD,4350,151.93433151,-27.55471092,General practice service,GP
Coastal Health Medical Centre - Toukley,Toukley,NSW,2263,151.53916931152300,-33.26388931274410,General practice service,GP
Yangebup Child Health Centre,Yangebup,WA,6164,115.82372283935500,-32.124961853027300,"Maternal, child and family health service",GP
North Eastern Health Centre,Tea Tree Gully,SA,5091,138.720948,-34.820543,General practice service,GP
Bacchus Marsh Community Health Centre,Bacchus Marsh,VIC,3340,144.4332275390630,-37.67841720581060,Nurse led clinic,GP
Looma Community Health,Derby,WA,6728,123.63031005859400,-17.30402946472170,Nurse led clinic,GP
Canberra Rape Crisis Centre (Crcc),City,ACT,2601,149.12875366210900,-35.28192138671880,Aboriginal and Torres Strait Islander health service,GP
Yarriambiack Shire Council,Warracknabeal,VIC,3393,142.39283752441400,-36.252830505371100,"Maternal, child and family health service",GP
Nature Care Health,St Leonards,NSW,2065,151.19684594,-33.82228985,General practice service,GP
Narooma Community Health Centre,Narooma,NSW,2546,150.12466430664100,-36.2157096862793,"Maternal, child and family health service",GP
Myhealth Medical Centre - Carlton,Carlton,VIC,3053,144.9681854248050,-37.79806137084960,General practice service,GP
North Balwyn Health Care Centre,Balwyn North,VIC,3104,145.09136962890600,-37.79292678833010,General practice service,GP
West Wimmera Shire Council,Edenhope,VIC,3318,141.29759216308600,-37.03644561767580,"Maternal, child and family health service",GP
Total Health Pottsville,Pottsville,NSW,2489,153.563865397566,-28.39147179261570,General practice service,GP
St Kilda Medical Group,St Kilda,VIC,3182,144.9795684814450,-37.86253356933590,General practice service,GP
Dungog Hospital,Dungog,NSW,2420,151.74581909179700,-32.40142059326170,Nurse led clinic,GP
Ampilatwatja Health Centre,Ampilatwatja,NT,872,135.22558,-21.659079,Aboriginal and Torres Strait Islander health service,GP
Ochre Medical Centre - Flinders Island,Whitemark,TAS,7255,148.01742553710900,-40.12125015258790,General practice service,GP
Lindfield Medical And Dental,Lindfield,NSW,2070,151.1697540283200,-33.77461624145510,General practice service,GP
Each - Ringwood East,Ringwood East,VIC,3135,145.25137329101600,-37.81083679199220,Nurse led clinic,GP
Newport Skin Cancer Clinic,Newport,NSW,2106,151.3192596435550,-33.654541015625,Community cancer service,GP
"Gladstone Community Mental Health, Alcohol And Other Drugs Service",Gladstone,QLD,4680,151.24583435058600,-23.848268508911100,"Maternal, child and family health service",GP
Eugowra Multi Purpose Service Diversional Therapy Service,Eugowra,NSW,2806,148.3636932373050,-33.42500686645510,Nurse led clinic,GP
Melbourne Paediatric Specialists,Parkville,VIC,3052,144.9499053955080,-37.79499816894530,General practice service,GP
Gunditjmara Health Clinic,Warrnambool,VIC,3280,142.50779984,-38.3962701,"Maternal, child and family health service",GP
Wyalong Health Service Child & Family Service,West Wyalong,NSW,2671,147.1968231201170,-33.916439056396500,"Maternal, child and family health service",GP
Kunawarritji Health Clinic - Puntukurnu Aboriginal Medical Service,Gibson Desert North,WA,872,123.8612060546880,-22.586641311645500,Aboriginal and Torres Strait Islander health service,GP
Village Clinic,Mount Eliza,VIC,3930,145.08993530273400,-38.18651580810550,General practice service,GP
Concord Family Doctors,Concord,NSW,2137,151.10487365722700,-33.853675842285200,General practice service,GP
Sans Souci Family Practice,Sans Souci,NSW,2219,151.1337127685550,-33.99018859863280,General practice service,GP
Somerville Doctors,Somerville,VIC,3912,145.189217,-38.224169,General practice service,GP
Ochre Medical Centre - Kingston,Kingston,ACT,2604,149.1414794921880,-35.31596374511720,General practice service,GP
Pigeon Hole (Nitjpurru) Community Health Centre,Pigeon Hole,NT,852,131.22784423828100,-16.835432052612300,"Maternal, child and family health service",GP
Donnybrook Child Health Centre,Donnybrook,WA,6239,115.82299041748000,-33.577571868896500,"Maternal, child and family health service",GP
Northern Suburbs Medical Service,Mowbray,TAS,7248,147.1326141357420,-41.40460968017580,General practice service,GP
St John Of God Ballarat Hospital,Lake Wendouree,VIC,3350,143.84621573,-37.55744484,"Maternal, child and family health service",GP
Royal Randwick Medical Centre,Randwick,NSW,2031,151.24098205566400,-33.91510772705080,General practice service,GP
Wrad Health Inc,Warrnambool,VIC,3280,142.47848510742200,-38.38579177856450,General practice service,GP
Bourke Multi Purpose Service Community Health Aboriginal Health Service (Amihs) At Enngonia,Enngonia,NSW,2840,145.8461456298830,-29.317962646484400,"Maternal, child and family health service",GP
Maternal And Child Health Centre - Koo Wee Rup,Koo Wee Rup,VIC,3981,145.49463059,-38.19813232,"Maternal, child and family health service",GP
Pascoe Vale Road Family Clinic,Broadmeadows,VIC,3047,144.9191131591800,-37.683189392089800,General practice service,GP
Grenfell Community Health Centre Nursing Service,Grenfell,NSW,2810,148.16734313964800,-33.89435577392580,Nurse led clinic,GP
Murray Road Medical Centre,Preston,VIC,3072,145.0030059814450,-37.73809814453130,General practice service,GP
Nganampa Health Council - Umuwa Office,Alice Springs,NT,870,133.8777313232420,-23.697105407714800,Aboriginal and Torres Strait Islander health service,GP
Rockingham Medical & Dental Centre,Rockingham,WA,6168,115.74638366699200,-32.28623580932620,General practice service,GP
Infinity Health Medical Centre Green Square,Zetland,NSW,2017,151.2011312,-33.9060958,General practice service,GP
South West Health Campus - Bunbury Hospital,Bunbury,WA,6230,115.64818572998000,-33.36698532104490,"Maternal, child and family health service",GP
Gnowangerup Child Health Centre,Gnowangerup,WA,6335,118.00547790527300,-33.934486389160200,"Maternal, child and family health service",GP
Burwood Medical Centre,Burwood,NSW,2134,151.10198974609400,-33.87906265258790,General practice service,GP
Tallangatta Medical Centre,Tallangatta,VIC,3700,147.18380737304700,-36.213680267334000,General practice service,GP
Warmun Remote Area Health Service,Warmun,WA,6743,128.2133026123050,-17.02359962463380,Nurse led clinic,GP
Aramac Primary Health Centre - Indigenous Health,Aramac,QLD,4726,145.2446746826170,-22.96672248840330,Aboriginal and Torres Strait Islander health service,GP
Forrestfield Medical Centre,Forrestfield,WA,6058,116.0086441040040,-31.989028930664100,General practice service,GP
Murrumba Downs Medical And Dental Centre,Murrumba Downs,QLD,4503,153.01683,-27.272017,General practice service,GP
Maternal And Child Health Centre - Coleraine,Coleraine,VIC,3315,141.6943359375,-37.59859085083010,"Maternal, child and family health service",GP
Ballarat Community Health - Sebastopol,Sebastopol,VIC,3356,143.83853149414100,-37.591583251953100,Nurse led clinic,GP
Hunter Doctors,Cessnock,NSW,2325,151.3529123,-32.8431851,General practice service,GP
Your Padstow Doctors Plus,Padstow,NSW,2211,151.03256225585900,-33.95291519165040,General practice service,GP
Autumn Lodge Nursing Home,Macksville,NSW,2447,152.9203338623050,-30.712453842163100,Nurse led clinic,GP
Cleveland Medical,Cleveland,QLD,4163,153.26737009,-27.52838127,General practice service,GP
North Townsville Community Hub,Deeragun,QLD,4818,146.67422485351600,-19.245223999023400,"Maternal, child and family health service",GP
Galiwin'ku Health Centre,Galiwinku,NT,822,135.5680389404300,-12.020073890686000,"Maternal, child and family health service",GP
Gap Road Medical Centre,Sunbury,VIC,3429,144.7230682373050,-37.57938766479490,General practice service,GP
Double Bay Early Childhood Centre,Double Bay,NSW,2028,151.24459838867200,-33.87645721435550,"Maternal, child and family health service",GP
Banksia Grove Child Health Centre (Viridian Drive),Banksia Grove,WA,6031,115.80782318115200,-31.702117919921900,"Maternal, child and family health service",GP
Lithgow Community Private Day Surgery And Specialist Centre,Bowenfels,NSW,2790,150.12625122070300,-33.499637603759800,Nurse led clinic,GP
Bay Centre Medical Clinic,Byron Bay,NSW,2481,153.613217,-28.642749,General practice service,GP
Central Health Clinic,Sunshine,VIC,3020,144.8300323486330,-37.78813934326170,General practice service,GP
Hospital Street Doctors,Wodonga,VIC,3690,146.88031005859400,-36.13154602050780,General practice service,GP
Emmanuel Medical Centre,St Albans,VIC,3021,144.80624389648400,-37.75205993652340,General practice service,GP
Callala Medical Centre,Callala Bay,NSW,2540,150.71759033203100,-34.9959602355957,General practice service,GP
Kalumburu Remote Area Health Service (Reporting To Kimberley Remote Area Health - East),Kalumburu,WA,6740,126.6419677734380,-14.295808792114300,Aboriginal and Torres Strait Islander health service,GP
Marie Chandler Maternal And Child Health @ Park Crescent Children And Family Centre,Boronia,VIC,3155,145.28384399414100,-37.86393737792970,"Maternal, child and family health service",GP
Maternal And Child Health Centre - Mahogany Rise Child And Family Centre,Frankston North,VIC,3200,145.15567016601600,-38.1253776550293,"Maternal, child and family health service",GP
Dubbo Community Health Centre Aboriginal Maternal Infant Health Service (Amihs),Dubbo,NSW,2830,148.6177215576170,-32.25579071044920,"Maternal, child and family health service",GP
Morawa Medical Centre,Morawa,WA,6623,116.00460052490200,-29.213680267334000,General practice service,GP
Maternal And Child Health Centre - Moorleigh,Bentleigh East,VIC,3165,145.07142639160200,-37.93386459350590,"Maternal, child and family health service",GP
Ellen Barron Family Centre,Chermside,QLD,4032,153.02494709,-27.38559914,"Maternal, child and family health service",GP
Alexandra Street Medical Clinic,St Kilda East,VIC,3183,145.00294494628900,-37.86656188964840,General practice service,GP
Coolah Multi Purpose Service Ambulatory Care Clinic,Coolah,NSW,2843,149.70999145507800,-31.821537017822300,Nurse led clinic,GP
Benalla Community Care Centre,Benalla,VIC,3672,145.99368286132800,-36.55502700805660,"Maternal, child and family health service",GP
Rockingham-Kwinana Child Development Service - Rockingham,Rockingham,WA,6168,115.74969035534300,-32.287773976081500,"Maternal, child and family health service",GP
Tlc Primary Care - Whittlesea,Whittlesea,VIC,3757,145.11827087402300,-37.51471710205080,General practice service,GP
Fletcher Clinic,Fletcher,NSW,2287,151.646580668707,-32.8765644072614,General practice service,GP
Mostyn Street Clinic,Castlemaine,VIC,3450,144.21591186523400,-37.06515884399410,General practice service,GP
Carnarvon Medical Service Aboriginal Corporation (Cmsac),Carnarvon,WA,6701,113.65890502929700,-24.884552001953100,"Maternal, child and family health service",GP
Laverton Doctors Surgery,Laverton,WA,6440,122.3930826,-28.6219604,General practice service,GP
Owen Terrace Medical Practice,Wallaroo,SA,5556,137.6280059814450,-33.931114196777300,General practice service,GP
Crystal Brook Hospital,Crystal Brook,SA,5523,138.21116638183600,-33.35470199584960,Aboriginal and Torres Strait Islander health service,GP
St John General Practice Midland,Midland,WA,6056,116.014462870951,-31.894513909382900,General practice service,GP
The Discovery Health Centre Pty Ltd,Mount Pleasant,QLD,4740,149.16452396,-21.1283713,General practice service,GP
One Stop Medical,Mackay,QLD,4740,149.18515014648400,-21.140581130981400,General practice service,GP
Main Street Medical Centre,Merimbula,NSW,2548,149.91127014160200,-36.8867301940918,General practice service,GP
Falcon Child Health Centre,Falcon,WA,6210,115.65806,-32.58456,"Maternal, child and family health service",GP
Bathurst Seymour Centre,Bathurst,NSW,2795,149.58173299,-33.42211878,Aboriginal and Torres Strait Islander health service,GP
Oak Family Practice,Huntingdale,WA,6110,115.9678954,-32.08198978,General practice service,GP
Redimed Rockingham,East Rockingham,WA,6168,115.75134873,-32.28801507,General practice service,GP
Doctors At Newmarket,Newmarket,QLD,4051,153.00681954,-27.43869013,General practice service,GP
Dr Anjana's Clinic,Kew,VIC,3101,145.05835437,-37.80100169,General practice service,GP
Mingara Medical Centre,Tumbi Umbi,NSW,2261,151.4436798095700,-33.363487243652300,General practice service,GP
Wellington Community Health Centre Nursing Service,Wellington,NSW,2820,148.95203942,-32.54982653,Nurse led clinic,GP
Dr Sung-Phu Lam,Woodville Gardens,SA,5012,138.54820251464800,-34.86686706542970,General practice service,GP
Glenelg South Medical Complex,Glenelg South,SA,5045,138.517525,-34.990104,General practice service,GP
Cooper Street Clinic,Double Bay,NSW,2028,151.24061584472700,-33.87703323364260,General practice service,GP
Aspire Medical Centre Eastwood,Eastwood,NSW,2122,151.081466,-33.790922,General practice service,GP
Nisa Medical,Roxburgh Park,VIC,3064,144.9165135,-37.62183616,General practice service,GP
Edgeworth Family Practice,Edgeworth,NSW,2285,151.62225341796900,-32.924896240234400,General practice service,GP
Riverstone Family Medical Practice,Riverstone,NSW,2765,150.86426041000000,-33.67764822,General practice service,GP
Lighthouse General Practice,Wynnum,QLD,4178,153.17627575,-27.44693786,General practice service,GP
The Emeline,Malvern,VIC,3144,145.02871892,-37.86109984,General practice service,GP
Hope Vale Primary Health Care Centre,Hope Vale,QLD,4895,145.106064273972,-15.2939248014925,General practice service,GP
Port Coogee Family Practice,North Coogee,WA,6163,115.76270294189500,-32.103050231933600,General practice service,GP
Reliance Care Medical Center,Truganina,VIC,3029,144.73055143,-37.83886027,General practice service,GP
Mansfield Family Practice,Mansfield,QLD,4122,153.09880492,-27.5390861,General practice service,GP
Lindisfarne Medical Group,Mount Lawley,WA,6050,115.87371826171900,-31.932090759277300,General practice service,GP
Gympie Day And Evening Clinic,Gympie,QLD,4570,152.66665158,-26.19802579,General practice service,GP
"Genesiscare, Joondalup (Shenton House)",Joondalup,WA,6027,115.77065988,-31.74083762,Community cancer service,GP
Kimberley Aboriginal Medical Services Council,Halls Creek,WA,6770,127.67040252685500,-18.22556495666500,Aboriginal and Torres Strait Islander health service,GP
Maternal And Child Health Centre - Montague Park - Frankston,Frankston,VIC,3199,145.12085597,-38.15490062,"Maternal, child and family health service",GP
Woody Point Medical Centre,Woody Point,QLD,4019,153.10409545898400,-27.261035919189500,General practice service,GP
Bringelly Family Medical Practice,Bringelly,NSW,2556,150.73233832,-33.94102308,General practice service,GP
Nova Medical Centre,Manning,WA,6152,115.86807753,-32.01545482,General practice service,GP
Keilor Medical Clinic,Keilor Downs,VIC,3038,144.8065185546880,-37.72368240356450,General practice service,GP
Appearance Medical Centre,Bendigo,VIC,3550,144.27984619140600,-36.76514434814450,General practice service,GP
Magill Family Practice,Magill,SA,5072,138.6691436767580,-34.91311264038090,General practice service,GP
Footscray Medical Centre,Footscray,VIC,3011,144.90142822265600,-37.79915237426760,General practice service,GP
Riverton Medical Practice,Riverton,SA,5412,138.74288940429700,-34.15995407104490,General practice service,GP
East Fremantle Child Health Centre,East Fremantle,WA,6158,115.76729904,-32.04411935,"Maternal, child and family health service",GP
Ingleburn Village Medical Centre,Ingleburn,NSW,2565,150.86656268,-33.99666937,General practice service,GP
Windsor Family Medical Centre,Windsor,QLD,4030,153.03114389,-27.43538341,General practice service,GP
Myhealth Dandenong,Dandenong,VIC,3175,145.2180938720700,-37.98859405517580,General practice service,GP
Woy Woy Family Practice,Woy Woy,NSW,2256,151.32370563,-33.48781773,General practice service,GP
Brisbane Early Parenting Centre,Everton Park,QLD,4053,152.99188172,-27.39403445,"Maternal, child and family health service",GP
Balance! Springwood Family Practice,Springwood,NSW,2777,150.5601348876950,-33.700923919677700,General practice service,GP
Douglas Family Medical Centre,Douglas,QLD,4814,146.73813917,-19.31776354,General practice service,GP
Complete Care Doctors,Mount Gravatt East,QLD,4122,153.0823516845700,-27.53913688659670,General practice service,GP
Gouger Street Medical Centre,Adelaide,SA,5000,138.5949249267580,-34.9297981262207,General practice service,GP
Fairfield Hospital Maternity Parenthood Educator,Prairiewood,NSW,2176,150.90429533,-33.85975621,"Maternal, child and family health service",GP
Maternal And Child Health Centre - Macleod,Macleod,VIC,3085,145.07005289,-37.72643124,"Maternal, child and family health service",GP
Complete Health At Crossways,Terrigal,NSW,2260,151.42527770996100,-33.43904113769530,General practice service,GP
Upwey Doctors,Upwey,VIC,3158,145.3318946,-37.9051644,General practice service,GP
Mitchell Medical Practice,Mitchell,QLD,4465,147.97221926,-26.49005873,General practice service,GP
Northpoint Medical Centre,Harlaxton,QLD,4350,151.95326895,-27.54073976,General practice service,GP
Wantirna Road Medical Centre,Ringwood,VIC,3134,145.22763061523400,-37.81863021850590,General practice service,GP
Botanica Medical & Dental Centre,Lidcombe,NSW,2141,151.04577474,-33.88399867,General practice service,GP
Erskine Park Family Clinic,Erskine Park,NSW,2759,150.80439621,-33.8037723,General practice service,GP
Maternal And Child Health - Thornbury 3,Northcote,VIC,3070,145.01428576,-37.76934001,"Maternal, child and family health service",GP
Maternal And Child Health Centre - Langwarrin,Langwarrin,VIC,3910,145.18493884,-38.15297752,"Maternal, child and family health service",GP
Warrandyte Road Clinic,Ringwood,VIC,3134,145.2310333251950,-37.80915451049810,General practice service,GP
Smart Health Clinics - Morley,Morley,WA,6062,115.894989,-31.894886,General practice service,GP
City Of Whittlesea - Maternal And Child Health Centres - Jindi,Mernda,VIC,3754,145.08860756,-37.60678121,"Maternal, child and family health service",GP
Main Street Medical Centre,Osborne Park,WA,6017,115.8287353515630,-31.89988899230960,General practice service,GP
Maternal And Child Health Centre - Wantirna South - Riddell Road,Wantirna South,VIC,3152,145.24411597,-37.88032417,"Maternal, child and family health service",GP
Tahmoor Medical Centre,Tahmoor,NSW,2573,150.60141213,-34.21341635,General practice service,GP
St Germain Superclinic,Clyde North,VIC,3978,145.36100766,-38.09452041,General practice service,GP
Goondir Health Services Oakey,Oakey,QLD,4401,151.7188585,-27.4321502,General practice service,GP
Windang Family Medical Centre,Windang,NSW,2528,150.86917591,-34.53222292,General practice service,GP
Dr M K I Khan,Strathpine,QLD,4500,152.9883270263670,-27.30006217956540,General practice service,GP
Illawarra Aboriginal Medical Service - Wollongong,Wollongong,NSW,2500,150.89274534,-34.43492327,Aboriginal and Torres Strait Islander health service,GP
Sivanna Health,Castle Hill,NSW,2154,150.9960174560550,-33.72991943359380,General practice service,GP
Myhealth Warringah Mall,Brookvale,NSW,2100,151.26605224609400,-33.768280029296900,General practice service,GP
Ashmore City Medical Centre,Ashmore,QLD,4214,153.38059141,-27.97828738,General practice service,GP
Joondalup Child Development Service,Joondalup,WA,6027,115.77273474,-31.73817441,"Maternal, child and family health service",GP
Renmark Child And Family Health Centre,Renmark,SA,5341,140.74963369,-34.16927548,"Maternal, child and family health service",GP
The Entrance Medical Centre,The Entrance,NSW,2261,151.49496459960900,-33.34619140625,General practice service,GP
Dr Eric Dorman,Padstow,NSW,2211,151.03466796875,-33.9537239074707,General practice service,GP
M3 Health - Hobsons Bay,Spotswood,VIC,3015,144.8865715,-37.83008658,General practice service,GP
Gwelup Medical Centre,Gwelup,WA,6018,115.79621887207000,-31.875408172607400,General practice service,GP
Hyde Parade Family Practice,Campbelltown,NSW,2560,150.80523309,-34.07437885,General practice service,GP
Kanwal Village Medical Centre,Hamlyn Terrace,NSW,2259,151.47982617,-33.26262428,General practice service,GP
Geraldton Regional Aboriginal Medical Service (Grams),Rangeway,WA,6530,114.62938690185500,-28.784849166870100,"Maternal, child and family health service",GP
Canley Heights Early Childhood Health Services,Canley Heights,NSW,2166,150.92622083,-33.88311722,"Maternal, child and family health service",GP
Chelsea Arcade Medical,Chelsea,VIC,3196,145.1161889,-38.05376166,General practice service,GP
Clifton Medical Practice,Clifton,QLD,4361,151.91049194335900,-27.931659698486300,General practice service,GP
Leeuwin Medical Group,Palmyra,WA,6157,115.7771987915040,-32.03872299194340,General practice service,GP
Claremont Medical Centre,Claremont,WA,6010,115.79005432128900,-31.981849670410200,General practice service,GP
University Hill Medical Centre,Bundoora,VIC,3083,145.06964111328100,-37.68220520019530,General practice service,GP
"Orange Health Service Community Maternal, Child And Family Health Clinic",Orange,NSW,2800,149.0952109,-33.3209391,"Maternal, child and family health service",GP
Maddington Child Health Centre,Maddington,WA,6109,115.99993896484400,-32.05253601074220,"Maternal, child and family health service",GP
Marsden Skin Cancer Clinic,Parramatta,NSW,2150,151.00184027,-33.81356379,General practice skin cancer service,GP
The Oaks General Practice,Oak Flats,NSW,2529,150.81872469,-34.56327163,General practice service,GP
Darling Downs Skin Cancer Clinic,East Toowoomba,QLD,4350,151.96411617,-27.56267401,General practice skin cancer service,GP
Hornsby Medical Centre,Hornsby,NSW,2077,151.10083677,-33.70465512,General practice service,GP
Dr Victor Tadros Surgery,Marrickville,NSW,2204,151.15240478515600,-33.91496658325200,General practice service,GP
Medclinic Family Practice,Brookvale,NSW,2100,151.2637939453130,-33.7677001953125,General practice service,GP
Mawson Lakes Medical Centre,Mawson Lakes,SA,5095,138.61732273,-34.80974629,General practice service,GP
Prema House Medical Centre,East Lismore,NSW,2480,153.28913188465200,-28.81596610003340,General practice service,GP
Homeless Healthcare,Highgate,WA,6003,115.8719602,-31.9432824,General practice service,GP
Cabravale Medical Centre,Canley Vale,NSW,2166,150.9427947998050,-33.88759231567380,General practice service,GP
Dr Krishnan Surgery,Redfern,NSW,2016,151.21381933,-33.89189713,General practice service,GP
Vermont South Health Care Clinic,Vermont South,VIC,3133,145.18331909179700,-37.855995178222700,General practice service,GP
Mount Waverley Medical Services,Mount Waverley,VIC,3149,145.12887573242200,-37.870216369628900,General practice service,GP
Acu Medical Centre Melbourne,Fitzroy,VIC,3065,144.9779035,-37.80699684,General practice service,GP
Sonic Health Plus Mt Isa Super Clinic,Ryan,QLD,4825,139.49915801,-20.70596228,General practice service,GP
Drs Danh And Margaret Nguyen,Doonside,NSW,2767,150.86988403,-33.76285505,General practice service,GP
Wantirna South Medical Centre,Wantirna South,VIC,3152,145.2149200439450,-37.87067413330080,General practice service,GP
Clinicare - Fitzroy North,Fitzroy North,VIC,3068,144.98370361328100,-37.78382873535160,General practice service,GP
Indooroopilly Family Practice,Indooroopilly,QLD,4068,152.97366996,-27.49761114,General practice service,GP
Avenue Medical Centre,Geelong West,VIC,3218,144.3343486,-38.1383889,General practice service,GP
Kingston Village Super Clinic,Ocean Grove,VIC,3226,144.5389839,-38.24713282,General practice service,GP
Carpenter Street Medical Centre,Colyton,NSW,2760,150.79267338,-33.77827544,General practice service,GP
The Doctors Werribee,Werribee,VIC,3030,144.6520233154300,-37.902320861816400,General practice service,GP
Kingston Family Clinic,South Brighton,SA,5048,138.5238494873050,-35.02406311035160,General practice service,GP
Tallowwood Health,North Tamworth,NSW,2340,150.92416131,-31.07596422,General practice service,GP
West Cessnock Medical Practice,Cessnock,NSW,2325,151.34320019,-32.83847673,General practice service,GP
Dr Brian Pilgrim's Surgery,Tenterfield,NSW,2372,152.01837158203100,-29.055810928344700,General practice service,GP
Port Elliot Medical Centre,Port Elliot,SA,5212,138.6819305419920,-35.529815673828100,General practice service,GP
Aya Medical Centre,Chester Hill,NSW,2162,151.00105334,-33.88229396,General practice service,GP
Eastbrooke Family Clinic - Belmont,Belmont,VIC,3216,144.34344619,-38.17594272,General practice service,GP
Cotton Tree Plaza Medical Centre,Cotton Tree,QLD,4558,153.10116577148400,-26.65494728088380,General practice service,GP
Monaro Medical Practice Pty Ltd,Cooma,NSW,2630,149.12336755,-36.23560914,General practice service,GP
Guyra Shire Preschool And Long Day Care Centre,Guyra,NSW,2365,151.67147065,-30.22123913,"Maternal, child and family health service",GP
Clarence Medical Centre,Maclean,NSW,2463,153.19737243652300,-29.457300186157200,General practice service,GP
Grasstree Bend Medical Centre,Banksia Grove,WA,6031,115.807681,-31.703927,General practice service,GP
Tintinara Child And Family Health Centre,Tintinara,SA,5266,140.06274572,-35.87780111,"Maternal, child and family health service",GP
Northside General Practice,O'connor,ACT,2602,149.1230010986330,-35.26415252685550,General practice service,GP
Clarity Medical St Kilda East,St Kilda East,VIC,3183,145.00768488,-37.86032177,General practice service,GP
Smartclinics Merrimac,Merrimac,QLD,4226,153.3719838,-28.04322107,General practice service,GP
The Lockyer Doctors Gatton,Gatton,QLD,4343,152.27953998,-27.55774674,General practice service,GP
Kennedy Bay Medical Centre,Port Kennedy,WA,6172,115.75480403,-32.36754501,General practice service,GP
Unisa Health Medical Clinic - City West Campus,Adelaide,SA,5000,138.58956944,-34.92243783,General practice service,GP
Otway Medical Clinic,Colac,VIC,3250,143.58222961,-38.34023764,General practice service,GP
Mooloolah Family Clinic,Mooloolah Valley,QLD,4553,152.96358867,-26.7643099,General practice service,GP
Rosebery Family Practice,Rosebery,NSW,2018,151.20562784,-33.91382964,General practice service,GP
Pittsworth Medical Centre,Pittsworth,QLD,4356,151.6359405517580,-27.71517562866210,General practice service,GP
Tresillian Nepean Family Care Centre ( Day Services),Kingswood,NSW,2747,150.71376892,-33.75785675,"Maternal, child and family health service",GP
Box Hill Dr Yang's Clinic,Box Hill,VIC,3128,145.116501,-37.81773,General practice service,GP
