ORGANISATION_NAME,SUBURB,STATE,POSTCODE,LONGITUDE,LATITUDE,NHSD_SERVICE_TYPE,GA_CLASS
Tambellup Child Health Centre,Tambellup,WA,6320,117.64309692382800,-34.044185638427700,"Maternal, child and family health service",GP
Wallan Family Practice,Wallan,VIC,3756,144.978271484375,-37.41392135620120,General practice service,GP
North Coast Medical Centre,Byron Bay,NSW,2481,153.6084747314450,-28.64143180847170,General practice service,GP
Ginninderra Medical And Dental Centre,Belconnen,ACT,2617,149.05728149414100,-35.239158630371100,General practice service,GP
Gosnells Medical Clinic,Gosnells,WA,6110,116.00105285644500,-32.0701904296875,General practice service,GP
Adelaide Hills Medical Clinic - Stirling,Stirling,SA,5152,138.7174072265630,-35.00664138793950,Nurse practitioner led clinic,GP
Ngala Parenting Line,Kensington,WA,6151,115.88358306884800,-31.98695945739750,"Maternal, child and family health service",GP
Toowoomba Hospital - Maternity Home Care,South Toowoomba,QLD,4350,151.944269070764,-27.5697596156494,"Maternal, child and family health service",GP
Hillcrest Health Centre,Jacana,VIC,3047,144.914299,-37.684425,General practice service,GP
Coolaroo Clinic,Coolaroo,VIC,3048,144.93154907226600,-37.66459274291990,General practice service,GP
Two Rocks Child Health Centre,Two Rocks,WA,6037,115.59688677977800,-31.498214266035200,"Maternal, child and family health service",GP
Canterbury Family Medical Practice,Canterbury,NSW,2193,151.11098,-33.91595,General practice service,GP
You Yangs Medical Clinic,Lara,VIC,3212,144.40682983398400,-38.021270751953100,General practice service,GP
Ochre Medical Centre Smithton,Smithton,TAS,7330,145.1244354248050,-40.83938217163090,General practice service,GP
Beachside Doctors,Dromana,VIC,3936,144.96656111,-38.33221443,General practice service,GP
Tenambit Medical Centre,Tenambit,NSW,2323,151.604467,-32.743578,General practice service,GP
Bowral Community Health Connecting Care,Bowral,NSW,2576,150.42459106445300,-34.48499298095700,Aboriginal and Torres Strait Islander health service,GP
Peak Medical Gpc,Hoppers Crossing,VIC,3029,144.70379638671900,-37.881370544433600,General practice service,GP
Lenah Valley Medical Centre,Lenah Valley,TAS,7008,147.29747009277300,-42.86576461791990,General practice service,GP
Cow Bay Primary Health Centre,Diwan,QLD,4873,145.40435791015600,-16.2033748626709,"Maternal, child and family health service",GP
Maternal And Child Health Centre - Badger Creek,Badger Creek,VIC,3777,145.5314483642580,-37.68062973022460,"Maternal, child and family health service",GP
Country Doctors Practice,Laidley,QLD,4341,152.39491271972700,-27.627334594726600,General practice service,GP
Trinity Medical Centre - Port Adelaide,Port Adelaide,SA,5015,138.50790405273400,-34.85221481323240,General practice service,GP
Ali Curung Primary Health Centre,Ali Curung,NT,872,134.4052917,-21.0034615,General practice service,GP
Ramsgate Child And Family Health,Sans Souci,NSW,2219,151.13558959960900,-33.986995697021500,"Maternal, child and family health service",GP
Vermont Health Care - Boronia Rd,Vermont,VIC,3133,145.1968231201170,-37.83687210083010,General practice service,GP
South Lake Child Health Centre,South Lake,WA,6164,115.83848571777300,-32.11053466796880,"Maternal, child and family health service",GP
Emerald Medical Centre,Emerald,VIC,3782,145.44139099121100,-37.93238067626950,General practice service,GP
Wollongong Hospital,Wollongong,NSW,2500,150.88386530342900,-34.424219450629000,Nurse led clinic,GP
Wallan Medical & Specialist Centre,Wallan,VIC,3756,144.97727966308600,-37.41455078125,General practice service,GP
Mount Medical Clinic,Belgrave,VIC,3160,145.34922790527300,-37.908119201660200,General practice service,GP
Maternal & Child Health Centre - Arnold's Creek,Harkness,VIC,3337,144.54507446289100,-37.66787338256840,"Maternal, child and family health service",GP
Rodd Point Medical Practice,Rodd Point,NSW,2046,151.1411590576170,-33.86574935913090,General practice service,GP
Wentworthville Medical Centre,Wentworthville,NSW,2145,150.9715576171880,-33.81074523925780,General practice service,GP
Lakes Drive Family Practice,Glenmore Park,NSW,2745,150.67315673828100,-33.784366607666000,General practice service,GP
Saibai Island Primary Health Care Centre,Saibai Island,QLD,4875,142.621838,-9.377753,"Maternal, child and family health service",GP
Ocean Shores Medical Centre,Ocean Shores,NSW,2483,153.54588317871100,-28.525409698486300,General practice service,GP
Bendigo Community Health Services - Eaglehawk,Bendigo,VIC,3550,144.28138917,-36.76149442,General practice service,GP
The Medical Clinic Beaconsfield,Beaconsfield,VIC,3807,145.36862182617200,-38.04549026489260,General practice service,GP
Women's And Children's Hospital,North Adelaide,SA,5006,138.600341796875,-34.91183853149410,Aboriginal and Torres Strait Islander health service,GP
Nairne Medical Clinic,Nairne,SA,5252,138.91607666015600,-35.03647232055660,General practice service,GP
Hughes Clinic,Unley,SA,5061,138.60694885253900,-34.94880294799810,General practice service,GP
Graceville Medical,Graceville,QLD,4075,152.98086547851600,-27.524547576904300,General practice service,GP
Central Gippsland Family Practice,Moe,VIC,3825,146.2626113,-38.1759312,General practice service,GP
Our Medical Loagnholme,Loganholme,QLD,4129,153.1929168701170,-27.670469284057600,General practice service,GP
Phillipson Street Clinic,Wangaratta,VIC,3677,146.30508422851600,-36.352027893066400,General practice service,GP
The Western Medical Centre,Yarraville,VIC,3013,144.8827362060550,-37.812744140625,General practice service,GP
Maternal And Child Health Centre - Ferntree Gully - Wattleview,Ferntree Gully,VIC,3156,145.2755584716800,-37.874961853027300,"Maternal, child and family health service",GP
Albemarle Medical Practice,Rose Bay,NSW,2029,151.2720184326170,-33.87534713745120,General practice service,GP
Karuna-Maya Medicine Tree,Jan Juc,VIC,3228,144.29922485351600,-38.34947204589840,General practice service,GP
Coogee Beach Doctors,Coogee,NSW,2034,151.25661436886500,-33.92313743461490,General practice service,GP
Bega Garnbirringu Health Service Aboriginal Corporation,Kalgoorlie,WA,6430,121.4766616821290,-30.74658203125,Aboriginal and Torres Strait Islander health service,GP
White Cliffs Health Service,White Cliffs,NSW,2836,143.08999633789100,-30.85030174255370,Nurse led clinic,GP
Midlands Multi-Purpose Health Centre,Oatlands,TAS,7120,147.36919505,-42.29884918,"Maternal, child and family health service",GP
Revive Cosmetic Medicine And Skin Cancer Clinic,Shailer Park,QLD,4128,153.18629455566400,-27.66144371032720,General practice skin cancer service,GP
Verve Family Doctors,Donvale,VIC,3111,145.17935180664100,-37.7972297668457,General practice service,GP
Bauhinia Health,Katherine,NT,850,132.26129,-14.46259,General practice service,GP
Your Health Place Medical Centre,Glen Huntly,VIC,3163,145.043212890625,-37.889705657959000,"Maternal, child and family health service",GP
Kilmore Medical Centre,Kilmore,VIC,3764,144.94992065429700,-37.29237747192380,General practice service,GP
Lorne Medical Centre,Lorne,VIC,3232,143.9808349609380,-38.54547882080080,General practice service,GP
Ncn Health - Cobram Campus,Cobram,VIC,3644,145.65109252929700,-35.91653060913090,Nurse led clinic,GP
Cunninghame Arm Medical Centre,Lakes Entrance,VIC,3909,148.00047302246100,-37.8764533996582,General practice service,GP
East Ivanhoe Medical Clinic,Ivanhoe East,VIC,3079,145.05892944335900,-37.77217102050780,General practice service,GP
Mylocaldoc Caloundra,Caloundra,QLD,4551,153.11965209,-26.80343223,Nurse practitioner led clinic,GP
Banksia Medical & Health,Esperance,WA,6450,121.89258,-33.85933,General practice service,GP
Naatsihwp - National Association Of Aboriginal And Torres Strait Islander Health Workers And Practitioners,Phillip,ACT,2606,149.0885467529300,-35.35271453857420,Aboriginal and Torres Strait Islander health service,GP
Cannington Medical Centre,Cannington,WA,6107,115.92473602294900,-32.012020111084000,General practice service,GP
Murray Medical Centre,Greenfields,WA,6210,115.7644102,-32.53048274,General practice service,GP
Wambo Medical,Jandowae,QLD,4410,151.109275,-26.781142,General practice service,GP
Bondi Junction Medical And Dental Centre,Bondi Junction,NSW,2022,151.2494354248050,-33.89276885986330,General practice service,GP
Wagga Wagga Community Health Service Child & Family Ashmont Mobile Clinic,Wagga Wagga,NSW,2650,147.35699462890600,-35.118560791015600,"Maternal, child and family health service",GP
Ochre Medical Centre - Garran,Garran,ACT,2605,149.1078338623050,-35.34202575683590,General practice service,GP
Waramanga Medical Centre,Waramanga,ACT,2611,149.0595245361330,-35.35255432128910,General practice service,GP
Yarragon Medical Centre,Yarragon,VIC,3823,146.06405639648400,-38.204254150390600,General practice service,GP
Nicholson Road Medical Group,Canning Vale,WA,6155,115.934814453125,-32.06441879272460,General practice service,GP
Midland Child Health Centre,Midland,WA,6056,116.00477,-31.88684,"Maternal, child and family health service",GP
